jd_id,candidate_id,category,match_score,interest_score,final_score,matched_skills,explanation
1,36434348,information technology,3,8,6,"looking, experience, for, developer, with","Skills match: looking, experience, for, developer, with. Semantic similarity used for matching. Interest inferred from resume tone."
1,19201175,information technology,3,8,6,"experience, platforms, knowledge, with, and","Skills match: experience, platforms, knowledge, with, and. Semantic similarity used for matching. Interest inferred from resume tone."
1,22450718,information technology,3,8,6,"looking, experience, for, candidate, knowledge","Skills match: looking, experience, for, candidate, knowledge. Semantic similarity used for matching. Interest inferred from resume tone."
1,37242217,information technology,4,7,6,"experience, for, developer, cloud, with","Skills match: experience, for, developer, cloud, with. Semantic similarity used for matching. Interest inferred from resume tone."
1,20674668,information technology,5,6,6,"experience, for, developer, knowledge, with","Skills match: experience, for, developer, knowledge, with. Semantic similarity used for matching. Interest inferred from resume tone."
2,13080868,business development,6,8,7,"experience, sales, and, business, identify","Skills match: experience, sales, and, business, identify. Semantic similarity used for matching. Interest inferred from resume tone."
2,27850777,business development,7,7,7,"experience, revenue, negotiation, sales, growth","Skills match: experience, revenue, negotiation, sales, growth. Semantic similarity used for matching. Interest inferred from resume tone."
2,14287992,business development,6,8,7,"experience, revenue, required, client, and","Skills match: experience, revenue, required, client, and. Semantic similarity used for matching. Interest inferred from resume tone."
2,20317319,business development,7,7,7,"experience, sales, growth, client, and","Skills match: experience, sales, growth, client, and. Semantic similarity used for matching. Interest inferred from resume tone."
2,29014805,business development,6,8,7,"experience, build, revenue, sales, growth","Skills match: experience, build, revenue, sales, growth. Semantic similarity used for matching. Interest inferred from resume tone."
3,35474904,advocate,5,6,6,"experience, able, with, advocate, and","Skills match: experience, able, with, advocate, and. Semantic similarity used for matching. Interest inferred from resume tone."
3,37348041,advocate,5,8,6,"experience, seeking, with, advocate, and","Skills match: experience, seeking, with, advocate, and. Semantic similarity used for matching. Interest inferred from resume tone."
3,25873425,advocate,5,6,6,"with, law, advocate, and, documents","Skills match: with, law, advocate, and, documents. Semantic similarity used for matching. Interest inferred from resume tone."
3,11188218,advocate,5,6,6,"experience, with, advocate, and, court","Skills match: experience, with, advocate, and, court. Semantic similarity used for matching. Interest inferred from resume tone."
3,73448369,advocate,5,6,6,"experience, advice, with, law, advocate","Skills match: experience, advice, with, law, advocate. Semantic similarity used for matching. Interest inferred from resume tone."
4,24444525,fitness,7,7,7,"fitness, exercise, for, progress, design","Skills match: fitness, exercise, for, progress, design. Semantic similarity used for matching. Interest inferred from resume tone."
4,29792535,fitness,6,8,7,"fitness, exercise, for, design, and","Skills match: fitness, exercise, for, design, and. Semantic similarity used for matching. Interest inferred from resume tone."
